,LATITUDE,LONGITUDE,NAME,DESCRIPTION
0,43.20947254867252,-79.817125562186,Mohawk 4 Ice Centre,"Address: 710 Mountain Brow Boulevard
Community: Hamilton
Phone: 905-318-5111"
1,43.29850975794113,-80.1113269820537,Beverly Arena,"Address: 680 Highway 8
Community: Flamborough
Phone: 519-647-2722"
2,43.3967784957488,-79.98131996136647,Carlisle Arena,"Address: 1496 Centre Road
Community: Flamborough
Phone: 905-689-7283"
3,43.23866962088898,-79.92059943106905,Chedoke Twin Pad Arena,"Address: 91 Chedmac Drive
Community: Hamilton
Phone: 905-546-2429"
4,43.25913791688768,-79.87219966571433,FirstOntario Centre,"Address: 101 York Boulevard
Community: Hamilton
Phone: 905-546-3100"
5,43.26464412172841,-79.89626047502854,Coronation Arena,"Address: 81 Macklin Street North
Community: Hamilton
Phone: 905-546-3109"
6,43.27241885038197,-79.85632979849457,Eastwood Arena,"Address: 111 Burlington Street East
Community: Hamilton
Phone: 905-546-3152"
7,43.13003002955694,-79.83870498193434,Glanbrook Arena,"Address: 4300 Binbrook Road
Community: Glanbrook
Phone: 905-692-9331"
8,43.244581371761534,-79.78249455230845,Hamilton Doublerink Arena,"Address: 1911 Barton Street East
Community: Hamilton
Phone: 905-545-5894"
9,43.23706516645422,-79.85959604055779,Inch Park Arena,"Address: 400 Queensdale Avenue East
Community: Hamilton
Phone: 905-546-4922"
10,43.21484012143342,-79.85075118066244,Bill Friday Lawfield Arena,"Address: 150 Folkstone Avenue
Community: Hamilton
Phone: 905-546-4923"
11,43.26601388076329,-79.96252182329292,J.L. Grightmire (Market Street) Arena,"Address: 35 Market Street South
Community: Dundas
Phone: 905-540-6678"
12,43.21805120439622,-80.00761609677664,Morgan Firestone Arena,"Address: 385 Jerseyville Road West
Community: Ancaster
Phone: 905-546-3769"
13,43.2251618714863,-79.88123418829878,Mountain (Dave Andreychuk) Arena,"Address: 25 Hester Street
Community: Hamilton
Phone: 905-546-4938"
14,43.31308838377152,-79.92278840369225,Harry Howell Arena,"Address: 27 Highway No. 5 West
Community: Flamborough
Phone: 905-689-6666"
15,43.27287723029571,-79.93426208848754,Westoby (Olympic) Arena,"Address: 70 Olympic Drive
Community: Dundas
Phone: 905-540-6686"
16,43.23633025930523,-79.79378837260238,Pat Quinn Parkdale Arena,"Address: 1770 Main Street East
Community: Hamilton
Phone: 905-546-4785"
17,43.21887586944057,-79.8069601338853,Rosedale Arena,"Address: 100 Greenhill Avenue
Community: Hamilton
Phone: 905-546-4805"
18,43.21796022149286,-79.70484095118088,Saltfleet Arena,"Address: 24 Sherwood Park Road
Community: Stoney Creek
Phone: 905-643-3883"
19,43.217120828269024,-79.99779878482515,Spring Valley Arena,"Address: 29 Orchard Drive
Community: Ancaster
Phone: 905-648-4404"
20,43.21653189808556,-79.76400581022659,Stoney Creek Arena,"Address: 37 King Street West
Community: Stoney Creek
Phone: 905-662-2426"
21,43.19284948300226,-79.79798203747859,Valley Park Arena,"Address: 970 Paramount Drive
Community: Stoney Creek
Phone: 905-546-2424 ext.1185"
22,43.22880902664702,-79.69992693717766,Gateway Ice Centre,"Address: 610 South Service Road
Community: Stoney Creek
Phone: 905-643-8668"
23,43.24783434316763,-79.94595167088691,Wentworth Arenas,"Address: 1249 Wilson Street East
Community: Ancaster
Phone: 905-525-6233"
24,43.19566111582893,-79.75438831001205,F.H. Sherman Recreation and Learning Centre Arena,"Address: 388 First Road East
Community: Stoney Creek
Phone: 905-560-5886"
0,43.38361646418191,-80.13962987868463,Valens Conservation Area,Conservation Area
1,43.28068863685311,-80.02333844836384,Christie Conservation Area,Conservation Area
2,43.101632866193725,-79.83309019953792,Binbrook Conservation Area,Conservation Area
3,43.271562542412006,-79.8744236438152,Bayfront Park,Hamilton Harbour
4,43.27366275931522,-79.86750592945609,Pier 4 Park,Hamilton Harbour
5,43.28091546802568,-79.78337487844423,Beach Boulevard,Lake Ontario
6,43.26175556173955,-79.76755756083107,Van Wagner's,Lake Ontario
7,43.251875422692024,-79.75648925187744,Confederation Park,Lake Ontario
