OBJECTID,NAME,LOCATION,PHONE
14,Oak Gables Golf Club & Driving Range,"1505 Hwy 2, Jerseyville",648-4653
15,Pineland Greens Golf club,"722 Safari Rd. West, Flamborough",659-1271
16,Pros golf Centre,"Hwy 20 & Green Mountain Rd., Stoney Creek",664-6644
17,Rock Chapel Golf Centre,"167 Hwy 5 West, Flamborough",689-8860
18,Satellite Golf Centre,"Hwy 20 & Mud St., Stoney Creek",662-6292
19,Scenic Woods Golf & Country Club,"185 Golf Club Rd., Binbrook",692-3163
20,Southbrook Golf & Country Club,"Hwy 56, Binbrook",692-3592
21,Southern Pines Golf & Country Club,"Airport Road East, Mount Hope",679-6308
22,The Upper Putt Mini Golf,"1185 Stone Church Road E. (between Nebo & Upper Ottawa), Hamilton",385-5633
23,Willow Valley Golf Course,"2907 Hwy 6 South, Mount Hope",679-2703
24,Winona Pitch & Putt,"1091 Hwy 8, Stoney Creek",643-2915
25,Copetown Woods Golf Clubs,"1430 Concession 2 West 
Copetown ",1-877-267-3869
26,The Hamilton Golf and Country Club,,
27,Glendale Golf and Country Club,,
1,Beverly Golf and Country Club,,
2,Dundas Valley Gold and Curling Club,,
3,Fiddlers Green Driving Range,,
4,Heron Point Golf Course,,
5,Apollo Valley,"RR#1, Lynden",647-2069
6,Carlisle Golf & Country,"523 Carlisle Rd., Carlisle",689-8820
7,Century Pines Golf Course,"Hwy 5 & 8, Peter's Corners, Flamborough",628-2877
8,Chedoke Golf Course,"563 Aberdeen Ave., Hamilton",546-3117
9,Chippewa Creek Golf & Country Club,9639 Chippewa Creek Rd. Mount Hope,679-4240
10,Flamborough Hills Golf Club,"71 Hwy 52 Copetown, Dundas",627-1743
11,Glancaster Golf & Country Club,"555 Glancaster Rd., Mount Hope",679-4033
12,King's Forest Golf Course,"100 Greenhill Ave., Hamilton",546-4781
13,Knollwood,"Shaver Rd., South of Hwy 53, Ancaster",648-6687
