OBJECTID,YEAR_PAID,ADDRESS,COMMUNITY,CONSTRUCTION_VALUE,GRANT_AMOUNT
1,2014,231 St. Clair Boulevard,Hamilton,11533,5000
2,2014,15 Witherspoon Street,Dundas,7520,3760
3,2014,5 Brock Street North,Hamilton,1130,565
4,2014,223 St. Clair Boulevard,Hamilton,3729,1865
5,2014,265 Lewis Road,Stoney Creek,62602,5000
6,2015,243 Garner Road,Ancaster,6166,3308
7,2015,19 Victoria Street,Dundas,16800,5000
8,2015,32 Cross Street,Dundas,79710,5000
9,2015,122 MacNab Street South,Hamilton,12769,5000
10,2015,286 Park Street South,Hamilton,10735,5000
11,2015,1 Victoria Street,Dundas,11922,5000
12,2015,24 Victoria Street,Dundas,7673,3836
13,2015,31 Cross Street,Dundas,11922,5000
14,2015,107 Mill Street North,Waterdown,12035,5000
15,2015,957 Governors Road,Dundas,2646,1323
16,2015,1 Victoria Street,Dundas,11309,5000
17,2015,293 Park Street South,Hamilton,5876,2938
18,2015,120 St. Clair Avenue,Hamilton,10554,5000
19,2015,11 Union Street,Waterdown,9718,4859
20,2016,43 Mill Street North,Waterdown,18041,5000
21,2016,17 Victoria Street,Dundas,12579,5000
22,2016,120 St. Clair Avenue,Hamilton,10848,5000
23,2016,69 Mill Street North,Waterdown,36349,5000
24,2016,5 Brock Street North,Dundas,7119,3560
25,2016,233 St. Clair Boulevard,Hamilton,5630,2815
