OBJECTID,COMMUNITY,STREET_NO_1,STREET_NO_2,STREET_NAME,NAME,HERITAGE_STATUS,DATE_HERITAGE,PART_IV,BYLAW_NO,PART_V,HCD_NAME,EASEMENT,WORK_PLAN
1,Hamilton,140,,LOCKE ST S,Former Immanuel Congregational Church,Designated,1896,Yes,17-118,No,,,No
2,Hamilton,51,,STANLEY AVE,,Inventoried,1890,No,,No,,,No
3,Hamilton,165,,DUKE ST,,Registered Non-Designated,1900,No,,No,,,No
4,Flamborough,1288,,BROCK RD,,Inventoried,,No,,No,,,No
5,Hamilton,120,,INCHBURY ST,,Inventoried,1880,No,,No,,,No
6,Glanbrook,2105,,FLETCHER RD,,Inventoried,1867,No,,No,,,No
7,Hamilton,388,,SHERMAN AVE N,Italian Presbyterian Church,Inventoried,1929,No,,No,,,No
8,Hamilton,146,,MACNAB ST N,,Inventoried,,No,,No,,,No
9,Hamilton,73,,ONTARIO AVE,,Inventoried,,No,,No,,,No
10,Hamilton,117,,WELLINGTON ST S,,Inventoried,,No,,No,,,No
11,Hamilton,94,,ONTARIO AVE,,Inventoried,,No,,No,,,No
12,Hamilton,229,,JAMES ST N,,Inventoried,,No,,No,,,No
13,Hamilton,47,,ELGIN ST,Beasley Park,Inventoried,1976,No,,No,,,No
14,Glanbrook,2630,,BINBROOK RD,,Inventoried,,No,,No,,,No
15,Hamilton,595,,KING ST W,,Inventoried,1965,No,,No,,,No
16,Hamilton,1212,,MAIN ST E,Bell Canada Building,Inventoried,1939,No,,No,,,No
17,Hamilton,93,,JOHN ST S,,Registered Non-Designated,1898,No,,No,,,No
18,Hamilton,78,,EAST AVE S,,Inventoried,,No,,No,,,No
19,Hamilton,86,,HOMEWOOD AVE,Melrose United Church,Inventoried,1929,No,,No,,,No
20,Ancaster,241,,WILSON ST E,,Inventoried,1867,No,,No,,,No
21,Hamilton,33,,WELLINGTON ST N,"Canadian Society for Medical Laboratory Science; Former Nort",Inventoried,1990,No,,No,,,No
22,Hamilton,194,,HESS ST N,,Inventoried,,No,,No,,,No
23,Hamilton,197,,CANNON ST E,,Inventoried,1870,No,,No,,,No
24,Hamilton,68,,ARKLEDUN AVE,,Inventoried,,No,,No,,,No
25,Hamilton,111,,AUGUSTA ST,,Inventoried,,No,,No,,,No
26,Hamilton,199,,WILSON ST,Church of Disciples of Christ,Registered Non-Designated,1898,No,,No,,,No
27,Hamilton,128,,EMERALD ST S,,Inventoried,,No,,No,,,No
28,Hamilton,1574,,MAIN ST W,Binkley United Church,Inventoried,1953,No,,No,,,No
29,Hamilton,198,,BOLD ST,,Registered Non-Designated,1910,No,,No,,,No
30,Hamilton,210,,WILSON ST,,Registered Non-Designated,1895,No,,No,,,No
31,Hamilton,20,,STUDHOLME RD,,Inventoried,,No,,No,,,No
32,Hamilton,66,,ERIE AVE,,Inventoried,,No,,No,,,No
33,Flamborough,1937,,4TH CON RD W,,Inventoried,,No,,No,,,No
34,Flamborough,632,,SAFARI RD,,Inventoried,,No,,No,,,No
35,Hamilton,138,,HERKIMER ST,,Registered Non-Designated,1877,No,,No,,,No
36,Dundas,7,,KING ST W,,Inventoried,,No,,No,,,No
37,Hamilton,189,,KING ST E,The Copp Block,Registered Non-Designated,1880,No,,No,,,Yes
38,Flamborough,1623,,HIGHWAY 5 W,,Inventoried,,No,,No,,,No
39,Hamilton,1008,,BEACH BLVD,,Designated,1890,No,00-135,Yes,Hamilton Beach,,No
40,Hamilton,14,,BRUCE ST,,Registered Non-Designated,1942,No,,No,,,No
41,Hamilton,205,,PARK ST N,,Inventoried,,No,,No,,,No
42,Hamilton,249,,CAROLINE ST S,,Inventoried,1962,No,,No,,,No
43,Stoney Creek,7,,PLACID PL,Corman House,Designated,1810,Yes,3608-92,No,,,No
44,Flamborough,2484,,2ND CON RD W,,Inventoried,,No,,No,,,No
45,Hamilton,28,,JOHN ST N,"Young & Brother.; Robert Raw & Co.",Registered Non-Designated,1850,No,,No,,,No
46,Stoney Creek,1123,,HIGHWAY 8,,Inventoried,,No,,No,,,No
47,Flamborough,1496,,SAFARI RD,,Inventoried,,No,,No,,,No
48,Dundas,51,,KING ST W,,Inventoried,,No,,No,,,No
49,Dundas,55,,KING ST W,,Inventoried,,No,,No,,,No
50,Dundas,53,,KING ST W,,Inventoried,,No,,No,,,No
51,Dundas,57,,KING ST W,,Inventoried,,No,,No,,,No
52,Flamborough,111,,PARKSIDE DR,,Inventoried,,No,,No,,,No
53,Hamilton,329,,QUEEN ST S,,Registered Non-Designated,1905,No,,No,,,No
54,Hamilton,185,,STINSON ST,,Inventoried,,No,,No,,,No
55,Hamilton,18,,ALANSON ST,,Inventoried,,No,,No,,,No
56,Hamilton,125,,JACKSON ST W,,Registered Non-Designated,1882,No,,No,,,No
