OBJECTID,LICENCE_NUMBER,LICENCE_TYPE,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
1,13 132193 04 1S,Public Halls,1297667 ONTARIO LTD O/A  MARQUIS GARDENS BANQUET AND CONVENTION CENTRE,1050 RYMAL RD E  HAMILTON ON,2019-09-11T00:00:00.000Z
2,14 233417 04 1S,Public Halls,1571365 ONTARIO LTD. O/A MARQUIS GARDENS ANCASTER,1365 SANDHILL DR  ANCASTER ON,2019-08-01T00:00:00.000Z
3,14 285857 04 1S,Public Halls,1856920 ONTRIO INC O/A ACE ENTERTAINENT,160 KING ST E  HAMILTON ON,2019-07-16T00:00:00.000Z
4,14 276813 04 1S,Public Halls,AFRO-CANADIAN CARIBBEAN ASSOCIATION OF HAMILTON & DISTRICT,752 BARTON ST E  HAMILTON ON L8L 3B1,2019-04-25T00:00:00.000Z
5,14 278502 04 1S,Public Halls,ANCASTER AGRICULTURAL SOCIETY,630 TRINITY RD S  ANCASTER ON,2019-09-02T00:00:00.000Z
6,17 292530 01 1S,Public Halls,BINBROOK AGRICULTURAL SOCIETY,2550 REGIONAL ROAD 56  GLANBROOK ON L0R 1C0,2019-08-23T00:00:00.000Z
7,17 292771 00 1S,Public Halls,CANADIAN WARPLANE HERITAGE,9280 AIRPORT RD  GLANBROOK ON,2018-11-01T00:00:00.000Z
8,14 124904 04 1S,Public Halls,CAN-AM BAN CORP INC,620 UPPER JAMES ST  HAMILTON ON L9C 2Z1,2019-09-03T00:00:00.000Z
9,15 124926 03 1S,Public Halls,CARMEN'S CATERING LTD.,1520 STONE CHURCH RD E  HAMILTON ON,2018-10-22T00:00:00.000Z
10,15 287332 03 1S,Public Halls,COLUMBUS CLUB OF HAMILTON,222 QUEENSTON RD  HAMILTON ON,2019-04-21T00:00:00.000Z
11,14 169827 03 1S,Public Halls,COMMUNITY CENTRE ARMENIAN,191 BARTON ST  STONEY CREEK ON,2018-11-15T00:00:00.000Z
12,15 124921 04 1S,Public Halls,CROATIAN NATIONAL HOME,1925 BARTON ST E A HAMILTON ON,2019-06-06T00:00:00.000Z
13,14 169830 03 1S,Public Halls,GALILEO'S GARDEN INC IN TRUST,1223 HWY 8  STONEY CREEK ON,2018-11-29T00:00:00.000Z
14,15 124903 04 1S,Public Halls,GERMANIA CLUB,871 KING ST E  HAMILTON ON,2019-05-29T00:00:00.000Z
