OBJECTID,NAME,ADDRESS,CITY,PHONE,WEBSITE
81,The Staircase,27 Dundurn Street North,Hamilton,905-529-3000,http://staircase.org
82,The Studio at Hamilton Place,1 Summers Lane,Hamilton,905-546-3100,http://www.coreentertainment.ca/events/venue/molson-canadian-studio
83,The Underground (Babylon),41 Catherine Street North,Hamilton,905-527-7488,https://www.facebook.com/theundergroundsound/?rf=273447632757582
84,Thirsty Cactus,2 King Street East,Dundas,905-627-8488,http://www.thirstycactus.ca/
85,This Ain't Hollywood,345 James Street North,Hamilton,289-396-3911,http://www.thisainthollywood.ca/
86,Tracie's Place Resto & Karaoke,592 Upper James Street,Hamilton,905-538-0795,https://traciesplacehamilton.wordpress.com/2012/11/27/hello-world/
87,Undermount Bar & Grill,10 Young Street,Hamilton,905-525-0019,http://undermountbarandgrill.com/
88,University Lanes,"101 Osler Drive, Suite 114",Dundas,905-627-0711,http://www.universitylanes.ca/
89,Vicar's Vice,2251 Rymal Road East,Stoney Creek,905-560-1586,http://vicarsvice.ca/
90,ViSo Hess Village,11 Hess Street,Hamilton,905-777-8476,https://www.facebook.com/pages/ViSo-Hess-Village/120512017994685
91,Viva Nightclub,115 George Street,Hamilton,289-396-7718,https://twitter.com/vivahamilton
92,Wellington Tavern,222 Cannon Street East,Hamilton,905-528-1000,
93,West Town,214 Locke Street South,Hamilton,905-570-1412,http://www.thewesttown.ca/
94,Where Heads Meet,162 Ottawa Street North,Hamilton,905-548-6338,http://whereheadsmeet.ca/
95,Whistling Walrus,1508 Upper James Street,Hamilton,905-383-9934,https://twitter.com/walrushamilton
96,Winchester Arms,120 King Street West,Hamilton,905-627-8016,http://winchesterarmsdundas.com/
97,Winking Judge,25 AuguStreeta Street,Hamilton,905-524-5626,http://www.winkingjudge.com/
98,Wobbley Scotsman,309 Crockett Street,Hamilton,905-389-8224,http://www.yellowpages.ca/bus/Ontario/Hamilton/Wobbly-Scotsman/3601486.html
99,Ye Olde Squire,1508 Upper James Street,Hamilton,905-575-7821,http://www.yeoldesquire.ca/venue-upperjames
100,Zoetic Theatre (films with orchestral accompaniment),526 Concession Street South,Hamilton,905-902-5683,http://www.thezoetic.ca/
1,447 Wing,3210 Homestead Drive,Mount Hope,289-280-0157,http://www.447wing.com/
2,Absinthe,38 King William Street,Hamilton,905-529-0349,www.clubabsinthe.ca
3,Acoustic Blend Café (Melrose United Church),86 Homewood Avenue,Hamilton,905-522-1323,http://www.melroseunited.ca/events/concerts.php
4,Ale House,902 Upper Gage Avenue,Hamilton,289-755-0518,https://www.facebook.com/pages/Ale-House/396754787089906
5,American House,324 Dundas Street East,Waterdown,905-690-1058,http://www.millstreetand5.ca/
6,Artword Artbar,15 Colbourne Street,Hamilton,905-543-8512,http://www.artword.net/artbar/
7,Augusta House,17 Augusta Street,Hamilton,905- 522-5111,http://www.theaugustahouse.com/
8,Barangas (on the Beach),380 Van Wagner's Beach Road,Hamilton,905-544-7122,http://www.barangas.ca/
9,Bay City Music Hall,50 Leander Road,Hamilton,289-389-9900,http://www.baycitymusichall.com/
10,Beaver & Bulldog,1400 Upper James,Hamilton,905-385-9998,http://www.beaverandbulldog.com/home/http://beaverandbulldoghamilton.com/
11,Boon's House,1523 Barton Street East,Hamilton,289-389-4242,https://www.facebook.com/BoonsHouseWillBeBack?ref=stream
12,Brown Barrel - The 1515 Tap and Grill,1515 Upper Ottawa,Hamilton,905-575-4606 ,http://brownbarrel.ca
13,Buddy's Roadhouse,1360 King Street East,Hamilton,905-545-1456,http://www.buddysroadhouse.com/
14,Cat 'N' Fiddle,174 John Street South,Hamilton,905-525-3855,http://www.catnfiddlepub.com/
15,Cavallo Nero,370 Wilson Street East,Ancaster,905-648-8888,http://cavallo-nero.ca/#live-music
16,Ceilidh House Irish Pub,107 George Street,Hamilton,905-528-5256,https://www.facebook.com/ceilihousehess
17,Club 77,77 King William Street,Hamilton,905-527-7488,http://www.seventyseven.ca/
18,Coach & Lantern,384 Wilson Street East,Ancaster,905-304-7822,http://www.coachandlantern.ca/
19,Collective Arts/Arts & Science,207 Burlington Street East,Hamilton,N/A,http://collectiveartsbrewing.com/welcome-to-our-new-digs/
20,Come By Chance,78 Melvin Avenue,Hamilton,905-545-6120,https://www.facebook.com/comebychancehamilton
21,Corktown Tavern,175 Young Street,Hamilton,905-572-9242,http://www.corktownpub.ca/
22,Dirty Dog Saloon,41 Catherine Street North,Hamilton,905-527-7488,http://www.dirtydogsaloon.ca/
23,Doors Pub,56 Hess Street South,Hamilton,905-540-8888,https://www.facebook.com/pages/The-Doors-Pub/234950883187399
24,Dr. Disc,20 Wilson Street,Hamilton,905-523-1010,http://www.drdisc.ca/links/
25,Embassy,54 King Street East,Hamilton,905-522-1100,https://www.facebook.com/pages/Embassy-Nite-Club/153027054741019?rf=194729890569612
26,Emerson 109 Pub,109 Emerson Street,Hamilton,289-426-2005,https://www.facebook.com/Emerson109
27,First Ontario Place,101 York Boulevard,Hamilton,905-546-4040,http://www.coreentertainment.ca/events/venue/firstontario-centre
28,Fool & Flagon,2255 Barton Street East,Hamilton,905-573-7430,http://www.foolandflagon.com/
29,Gallagher's Bar,69 Augusta Street,Hamilton,905-577-6900,http://www.gallaghersbar.ca/
30,George Hamilton Bar Restaurant,1115 Fennell Avenue East,Hamilton,905-381-9820,www.thegeorgehamilton.com
31,Hamilton Conservatory for the Arts,126 James Street South,Hamilton,905-528-4020,http://www.hcarts.ca/
32,Hamilton Place,10 MacNab Street South,Hamilton,905-546-3100,http://www.coreentertainment.ca/events/venue/hamilton-place
33,Happy Hourz Pub,94 MacNab Street North,Hamilton,905-777-7839,http://www.happyhourz.ca/
34,Homegrown Hamilton,27 King William Street,Hamilton,905-777-8102,http://www.homegrownhamilton.com/
35,Lazy Flamingo,19 Hess Street South,Hamilton,905-527-0567,https://www.facebook.com/thelazyflamingo
36,Liquid Kitty Martini Bar,69 John Street South,Hamilton,905-526-6666,http://www.liquidkitty.ca/Home.html
37,Lou Dawgs Southern Barbecue,116 George Street,Hamilton,289-389-3227,http://www.loudawgs.com/
38,Lyric Theatre,434 King Street West,Hamilton,905-527-6135,https://www.facebook.com/LyricTheatreHamilton
39,Mill St & 5: American House,324 Dundas Street East,Hamilton,905-690-1058,http://www.millstreetand5.ca/
40,Mills Hardware,95 King Street East,Hamilton,905-777-1223,http://millshardware.ca/
41,"Mohawk College, McIntyre Performing Arts Centre",Fennell Avenue. East,Hamilton,905-575-2122,http://www.mohawkcollege.ca/community/mcintyre-performing-arts-centre
42,Mulberry Street Coffeehouse,193 James Street North,Hamilton,905-963-1365,https://www.facebook.com/Mulberrycoffee
43,My Dog Joe ,1020 King Street West,Hamilton,905-777-8100,https://www.facebook.com/mydogjoe
44,Nuance Bistro,1085 Barton Street East,Hamilton,905-549-1111,https://www.facebook.com/pages/Nuance-Bistro/203677649667719
45,O Ultra Lounge,612 Upper James Street,Hamilton,905-383-1494,http://www.olounge.ca/
46,One Duke Restaurant & Oyster Lounge,1 Duke Street,Hamilton,905-540-3853,http://www.oneduke.ca/
47,Our Dog House,399 Greenhill Avenue,Hamilton,905-538-1689,https://www.facebook.com/ourdoghousebarandgrill
48,Pheasant Plucker,20 Augusta Street,Hamilton,905-529-9000,http://www.pheasantplucker.ca/
49,Prince Edward Tavern,737 Barton Street East,Hamilton,905-545-6063,http://www.petavern.com/
50,Pub Fiction,1242 Garner Road West,Ancaster,905-304-9990,http://www.pubfiction.ca/
51,Radius Restaurant,151 James Street South,Hamilton,905-393-1658,http://radius.ca/
52,Rankin's Grill,1342 Main Street East,Hamilton,905-545-1579,http://rankinsrestaurant.ca/
53,Ray's Place,303 Dundurn Street South,Hamilton,905-522-4800,https://www.facebook.com/raysplaceboathouse
54,Rebels Rock Irish Pub,537 King Street East,Hamilton,905-777-1771,http://www.rebelsrock.com/
55,Rolly Rocket's,470 King Street West,Hamilton,905-393-3555,http://www.rollyrocketsbbq.com/index.php?pg=home
56,Rosedale Sports Bar,876 Lawrence Road,Hamilton,289-396-0417,
57,Route 66 Oldies Cafe,468 James Street North,Hamilton,905-529-8555,
58,Rumak Eatery & Bar,570 Upper Wentworth,Hamilton,905-385-6199,http://www.rumakeatery.com/
59,Sam's Tavern,632 Barton Street East,Hamilton,905-544-5846,https://www.facebook.com/SamsRestaurantHamilton
60,Sarcoa,57 Discovery Drive,Hamilton,905-528-5757,http://www.sarcoa.ca/
61,Snooty Fox,1011 King Street West,Hamilton,905-546-0000,http://www.snootyfox.ca/
62,Spice Factory,121 Hughson Street North,Hamilton,905-522-1112,http://www.spicefactory.ca/
63,Steel House Grill,24 King Street East,Hamilton,905-818-4507,https://www.facebook.com/pages/Steel-House-Grill-Hamilton/201586343242111
64,Stonewalls,339 York Boulevard,Hamilton,905-577-0808,http://stonewallshamilton.com/
65,Tailgate Charlies,69 John Street South,Hamilton,905-526-6666,http://www.tailgatecharlies.ca/
66,Tartan Toorie,989 Fennell Avenue East,Hamilton,905-388-0234,http://www.tartantoorie.ca/
67,The Baltimore House,43 King William Street,Hamilton,289-396-4830,http://www.baltimorehouse.ca/
