X,Y,OBJECTID,TYPE,PARK_NAME,REC_AREA,OWNERSHIP,CLASSIFICATION,LONGITUDE,LATITUDE
599378.458100000396371,4783851.6809,33,Soccer,,Upper Stoney Creek,City,,-79.77677039250936,43.20090565407602
597692.791299999691546,4783855.0851,34,Baseball,,Upper Stoney Creek,City,,-79.79751380778217,43.20115624514771
597699.599799999967,4783806.8584,35,Baseball,,Upper Stoney Creek,City,,-79.79743854974791,43.2007211892361
597787.826399999670684,4783876.6453,36,Basketball,,Upper Stoney Creek,School,,-79.79634047183929,43.20133804684551
597906.691100000403821,4783148.9888,37,Baseball,,Upper Stoney Creek,City,,-79.79500662910819,43.19477171211624
597815.911399999633431,4783011.684399999678,38,Baseball,,Upper Stoney Creek,City,,-79.79614796699695,43.193547350370544
597982.719200000166893,4783053.1026,39,Tennis,,Upper Stoney Creek,City,,-79.79408811167666,43.19389861148548
597998.605700000189245,4783053.1026,40,Tennis,,Upper Stoney Creek,City,,-79.79389263323796,43.19389655061476
598012.79,4783052.535299999639,41,Tennis,,Upper Stoney Creek,City,,-79.79371819955539,43.19388960232758
598027.541699999943,4783051.9679,42,Tennis,,Upper Stoney Creek,City,,-79.79353678454841,43.19388258014488
588311.256,4786007.1446,43,Baseball,,Hamilton Mountain,City,,-79.9126240875618,43.221686905314805
588241.530899999663234,4785947.689799999818,44,Baseball,,Hamilton Mountain,City,,-79.91349196723753,43.22115978260763
588250.782100000418723,4786088.1403,45,Soccer,,Hamilton Mountain,Other,,-79.91335561837526,43.22242319333877
588353.621500000357628,4786109.8706,46,Soccer,,Hamilton Mountain,Other,,-79.91208608713313,43.222606800102355
588332.030899999663234,4786055.18229999952,47,Soccer,,Hamilton Mountain,Other,,-79.9123606424717,43.2221169621082
588406.360600000247359,4786021.4984,48,Basketball,,Hamilton Mountain,School,,-79.91145097270719,43.221804998043
593380.956399999558926,4785322.0009,49,Tennis,,Hamilton Mountain,City,,-79.85032879765168,43.2149082986929
593399.830900000408292,4785318.3925,50,Basketball,,Hamilton Mountain,City,,-79.85009707831362,43.214873477603085
594349.325899999588728,4785514.968499999493,51,Baseball,,Hamilton Mountain,City,,-79.83837600746544,43.21652514502926
594415.505699999630451,4785478.1864,52,Baseball,,Hamilton Mountain,City,,-79.83756766119149,43.216185724466094
594345.948699999600649,4785428.5283,53,Baseball,,Hamilton Mountain,City,,-79.83843235180275,43.215747355270096
594266.624699999578297,4785426.1837,54,Baseball,,Hamilton Mountain,School,,-79.83940917668315,43.21573615775835
594124.60869999975,4785299.976199999452,55,Baseball,,Hamilton Mountain,School,,-79.84117881504645,43.21461764720998
594245.196999999694526,4785510.751,56,Soccer,,Hamilton Mountain,City,,-79.83965849967136,43.21650018439904
594140.230200000107288,4785243.7805,57,Soccer,,Hamilton Mountain,School,,-79.84099611083371,43.214109774208445
595008.285199999809265,4784910.716299999505,58,Basketball,,Hamilton Mountain,City,,-79.83036856849701,43.21100247976129
595137.561599999666214,4784945.9581,59,Baseball,,Hamilton Mountain,School,,-79.8287713224549,43.21130347609861
594930.587899999693036,4784893.394099999219,60,Soccer,,Hamilton Mountain,City,,-79.83132787036126,43.2108563040184
595861.2006,4784735.94899999909,61,Soccer,,Hamilton Mountain,City,,-79.81990097996632,43.209321254179706
595816.789499999955,4784660.281099999323,62,Soccer,,Hamilton Mountain,City,,-79.82046071846247,43.20864566498517
595771.596800000406802,4784580.1238,63,Soccer,,Hamilton Mountain,City,,-79.82103084137276,43.20792975521293
595580.755599999800324,4784661.520099999383,64,Soccer,,Hamilton Mountain,City,,-79.82336556483676,43.208686738271716
588729.190100000239909,4786745.3758,129,Baseball,,Hamilton Mountain,Other,,-79.90736027124446,43.228284246018276
588774.980100000277162,4786770.147399999201,130,Baseball,,Hamilton Mountain,Other,,-79.90679251409036,43.22850188025118
588762.969600000418723,4786734.866599999368,131,Baseball,,Hamilton Mountain,City,,-79.90694606542267,43.22818565769619
588629.658200000412762,4786687.4831,132,Baseball,,Hamilton Mountain,City,,-79.90859502203588,43.22777473143896
588727.341199999675155,4786640.5711,133,Baseball,,Hamilton Mountain,City,,-79.90739989133495,43.227340896790615
589671.27170000039041,4786328.035099999979,134,Soccer,,Hamilton Mountain,City,,-79.89582910622678,43.224415520727334
589757.192300000227988,4786299.737099999562,135,Soccer,,Hamilton Mountain,City,,-79.89477591506744,43.224150536460144
592384.913099999539554,4786538.685699999332,136,Football,,Hamilton Mountain,City,,-79.862385665566,43.225984636731326
592380.14670000039041,4786523.095599999651,137,Soccer,,Hamilton Mountain,City,,-79.86244695693182,43.225844863159786
592464.749900000169873,4786767.9579,138,Soccer,,Hamilton Mountain,City,,-79.86136433215675,43.228038983354566
592498.786199999973,4786757.146099999547,139,Soccer,,Hamilton Mountain,City,,-79.8609470939714,43.22793747289275
592538.730899999849498,4786745.7456,140,Soccer,,Hamilton Mountain,City,,-79.86045721322603,43.227829936252995
592519.232699999585748,4786685.9527,141,Soccer,,Hamilton Mountain,City,,-79.86070729859787,43.227294015490116
592482.144100000150502,4786696.0742,142,Soccer,,Hamilton Mountain,City,,-79.86116222681366,43.22738968549935
592444.426599999889731,4786706.7938,143,Soccer,,Hamilton Mountain,City,,-79.86162479915232,43.22749081600939
592390.967699999921,4786743.026399999857,144,Tennis,,Hamilton Mountain,School,,-79.86227690632295,43.227823564798044
592375.635200000368059,4786747.3081,145,Tennis,,Hamilton Mountain,School,,-79.86246495967086,43.22786399014318
592365.1946,4786713.158299999312,146,Tennis,,Hamilton Mountain,School,,-79.86259922050432,43.22755781945933
592381.155899999663234,4786708.2784,147,Tennis,,Hamilton Mountain,School,,-79.86240352526099,43.227511932098516
