X,Y,OBJECTID,NAME,DENOMINATION,ADDRESS,COMMUNITY,LONGITUDE,LATITUDE
600389.400000000372529,4787447.29,26,St. Gregory The Great Church (Slovenian),Roman Catholic,125 CENTENNIAL PKY N,HAMILTON,-79.7636758410092,43.23314194996647
586559.740000000223517,4789102.34,27,Hamilton Mennonite Church,Mennonite Brethren,143 LOWER HORNING RD,HAMILTON,-79.93370097271001,43.24975637409901
591784.338399999774992,4790717.2145,28,St. Cyril And Methodius Slovak Roman Catholic Church,Roman Catholic,204 PARK ST N,HAMILTON,-79.86908387051166,43.26367700855353
591822.0,4787551.98,29,Transfiguration Lutheran Church,Lutheran,232 FENNELL AVE E,HAMILTON,-79.86914729709689,43.23517600787627
590362.650000000372529,4789574.89,30,St. John The Evangelist Anglican Church,Anglican,320 CHARLTON AVE W,HAMILTON,-79.88678525825479,43.25356451272959
593564.58,4788969.94,31,Jehovah's Witnesses (Victoria Congregation),Jehovah's Witnesses,57 DELAWARE AVE,HAMILTON,-79.8474497717859,43.24772759449581
595936.660000000149012,4786232.44,32,Elliott Heights Baptist Church,Baptist,1300 FENNELL AVE E,HAMILTON,-79.81871216276042,43.22278432632935
597884.910000000149012,4787533.17,33,St. Eugene's Church,Roman Catholic,232 QUEENSTON RD,HAMILTON,-79.79449732912552,43.234244249910404
597194.519999999552965,4789071.51,34,Slovak Assumption Byzantine Catholic Church,Slovak,1406 BARTON ST E,HAMILTON,-79.8027268126334,43.24818279935216
589389.589999999850988,4787331.78,35,Westmount Baptist Church,Baptist,207 WEST 19TH ST,HAMILTON,-79.89913433510378,43.233485722618674
592260.269999999552965,4791562.6,36,Calvin Grace Community Church,Presbyterian,541 JAMES ST N,HAMILTON,-79.86307917326063,43.27122980178574
595813.036199999973,4787950.039499999955,37,St. John The Baptist Roman Catholic Church,Roman Catholic,128 EDGEMONT ST,HAMILTON,-79.81993572113774,43.23826326057415
592757.72,4789518.65,38,Christ Evangelical Lutheran Lativian Church,Lutheran,18 VICTORIA AVE S,HAMILTON,-79.85729455337581,43.25276727481409
595941.67,4788954.46,39,Laidlaw United Church,United,155 OTTAWA ST N,HAMILTON,-79.81817695410632,43.24728949373716
592824.599999999627471,4789509.61,40,St. Patrick's Church,Roman Catholic,420 KING ST E,HAMILTON,-79.85647232579647,43.252677656102236
591989.057900000363588,4790767.7672,41,All Souls Church,Roman Catholic,21 BARTON ST W,HAMILTON,-79.86655346767037,43.26410716587746
601437.72,4785712.53,42,Church Of Christ (Stoney Creek),Non-denominational,105 KING ST E,STONEY CREEK,-79.75108738354565,43.21738437525757
601065.33,4788118.67,43,Sikh Society Hamilton,Sikh,86 COVINGTON ST,HAMILTON,-79.7552304511542,43.23909585181181
590433.059999999590218,4790640.02,44,St. Demetrios Greek Orthodox Church,Greek Orthodox,22 HEAD ST,HAMILTON,-79.88574314393841,43.26314540977857
604228.610000000335276,4785610.5,45,Our Saviour Anglican Church,Anglican,482 HWY 8,STONEY CREEK,-79.71675323368007,43.21608560700792
595696.549999999813735,4789349.08,46,St. Naum Of Ohrid Macedonian Orthodox Church,Orthodox,235 KENSINGTON AVE N,HAMILTON,-79.82112722570832,43.25087332513616
591355.610000000335276,4787909.17,47,St. Peter And Paul Church,Roman Catholic,50 BRUCEDALE AVE E,HAMILTON,-79.87483095649131,43.23844841265185
591360.400000000372529,4788067.92,48,Olivet United Church,United,40 EMPRESS AV,HAMILTON,-79.87474566853118,43.23987705448475
583889.849000000394881,4790903.6432,49,Jehovah's Witnesses (Christian Science Society),Jehovah's Witnesses,245 MILL ST,DUNDAS,-79.96631076359584,43.266275716901845
599091.559999999590218,4787990.39,50,St. Peter Yu Roman Catholic Church,Roman Catholic,6 HEATH ST,HAMILTON,-79.77955794833453,43.23820290356479
593115.639999999664724,4785810.82,102,Mountain Church Of The Nazarene,Church of the Nazarene,910 UPPER SHERMAN AVE,HAMILTON,-79.85351217512256,43.21934188559848
595941.480000000447035,4789283.18,103,Templo Nueva Vida,Pentecostal Assemblies of Canada,279 GROSVENOR AVE N,HAMILTON,-79.81812206852187,43.25024891112737
591678.879999999888241,4789850.71,104,Centenary United Church,United,24 MAIN ST W,HAMILTON,-79.87052724929282,43.255888769212326
598255.17,4787370.71,105,Fairfield - St. David's United Church,United,93 DELENA AVE S,HAMILTON,-79.78996732470745,43.232733531388405
588835.798399999738,4787236.310699999332,106,Jesus First Assembly (Peoples Church),Pentecostal Assemblies of Canada,510 MOHAWK RD W,HAMILTON,-79.90596863548666,43.23269162742972
593893.58,4790129.71,107,Hamilton Korean Presbyterian Church,Presbyterian,200 SANFORD AVE N,HAMILTON,-79.84320024962734,43.258127933045415
