X,Y,OBJECTID,TITLE,ADDRESS,PHONE,FAX,EMAIL,TOLL_FREE,URL,DESCRIPTION,OPEN_DATATOURISM_LISTINGSAREA,LONGITUDE,LATITUDE
592418.871399999596179,4789534.767699999735,8,Days Inn Hamilton,"210 Main Street East, Hamilton, L8N 1H3",905-528-3297,,info@hamiltondaysinn.com,,http://hamiltondaysinn.com,"Newly built in 2008 and conveniently located in the heart of downtown Hamilton, this exceptional hotel attracts many corporate clients and personal travelers alike. To enhance your comfort, choose from queen-size or king-size beds, some with Jacuzzi. All rooms have flat LCD-TV, free parking, deluxe Continental breakfast and internet. Located close to most local hospitals, Art Gallery of Hamilton, Copps Coliseum, Hamilton Convention Centre, museums, diverse dining and shopping options, your stay at Days Inn Hamilton will be an excellent choice and experience.",,-79.86146539999984,43.25295399999529
577547.583399999886751,4778402.514699999243,9,Duck Tail Inn B&B,"1573 Butter Road West, Ancaster, L9G 3L1",905-648-3596,,dwentworth@Sympatico.ca,,www.ducktail.net,Ducktail B&B is a modern air conditioned one floor home located on 44 acres. Picture windows overlook rolling fields and a sunroom with wicker furniture overlooks a duck pond.,,-80.04620459999997,43.15440119999529
583852.7528,4791102.5229,10,Dundas Glen Bed and Breakfast,"271 Hatt Street, Dundas, L9H 2H4",289-238-8193,,info@dundasglen.ca,,www.dundasglen.ca,"Welcome to Dundas Glen, a Bed and Brakfast in a beautiful century home in the picturesque and historic Valley Town of Dundas, Ontario.  We are just a short walk from charming downtown Dundas, full of boutique shopping and fine dining.  Restaurants cater to the gourmet in your family or simply a fun pub experience.",,-79.96673749999994,43.268070399995295
570498.187599999830127,4806990.14299999923,11,Emerald Lake Trailer Resort & Waterpark,"7248 Gore Rd. RR#2, Puslinch, N0B 2J0",905-659-7923,,emeraldlake@bellnet.ca,,www.emeraldlake.ca,"Beautiful seasonal transient camping with all modern, clean facilities. Centrally located just minutes from Hamilton, Dundas, Burlington, Cambridge, Guelph the 401 403.",,-80.12923470000001,43.41248279999527
611320.00690000038594,4785810.5872,12,Fifty Point Conservation Area and Campground,"1479 Baseline Rd., Winona",905-525-2187,,fiftypt@conservationhamilton.ca,,www.conservationhamilton.ca,"A magnificent 80-hectare park with superb marina facilities in Stoney Creek. It's the place to be for a swim in Lake Ontario, family camping or a picnic for groups of any size.",,-79.62942839999947,43.216874299995226
574865.8295,4804544.398299999535,13,Flamboro Valley Camping Resort,"1158 Regional Rd 97, Flamborough, N0B 2J0",905-659-5053,,info@flamborovalley.com,,www.flamborovalley.com,"Located in a peaceful setting just North of Hamilton and South of Guelph. Seasonal and Overnight Camping sites. Tenting and Large Rigs pull thru sites(WE + WES). Hot Tub, Splash Park,Heated Swimming Pool, Pirate Ship, 2 Playgrounds,Walking trails, Activities,Basketball Courts + more.",,-80.07562889999998,43.390039599995255
579288.330699999816716,4801474.434399999678,14,Gulliver's Lake & Park,"792 Safari Road, Millgrove, L0R 1V0",905-659-7300,,GULLIVERSLAKE@CAREFREERVRESORTS.COM,,www.gulliverslake.com,"Park in restful, wooded surroundings. Enjoy our lake's seclusion and carefree living. Swim in the cleanest waters found in Southern Ontario!",,-80.02147629999996,43.36194579999527
592376.6831,4790275.031899999827,15,Hamilton Guesthouse,"158 Mary Street, Hamilton, L8L 4V8",289-440-8035,,Hamilton.guesthouse@gmail.com,,http://hamiltonguesthouse.ca/,Hamilton Guesthouse offers quality accommodation for budget travelers and students near the downtown core of Hamilton and close to many of the city's major attractions and to public transport. Guests can stay in a 6 bed co-ed dorm or in a private double room,,-79.86186089999985,43.259623699995274
600715.943300000391901,4788694.40509999916,31,Quality Hotel Hamilton - Choice Hotels Canada,"49 Goderich Road, Hamilton, L8E 4W8  ",905-578-1212 x1117,,sales@qualityhotelhamilton.com,,https://www.choicehotels.com/ontario/hamilton/quality-inn-hotels/cna40,"Located off the QEW and Centennial Pkwy, Quality Hotel Hamilton/Stoney Creek, Ontario offers Free full breakfast, free wireless high-speed Internet access, Free daily newspaper and Free parking on premises.  We're in a great spot not far from Toronto and Niagara Falls and only 1/4 km from picturesque Lake Ontario with Confederation Park and Wild Waterworks in the area. ",,-79.75942749999972,43.24432569999521
585379.778,4784515.450099999085,32,Redeemer University College,"777 Garner Road East, Ancaster, L9K 1J4",905-648-2131,,stay@redeemer.ca,,www.redeemer.ca/accommodations,"Redeemer University College offers a unique location for your conference or special event. Summer accommodations are available in townhouses and apartment residences. Other facilities include: auditorium, banquet and meeting rooms.",,-79.94894399999993,43.208594199995275
