OBJECTID,AWARD_WINNER,PROJECT_DESCRIPTION,RECIPIENT_S,YEAR,CATEGORY,LOCATION,CITY,COORDINATES
8,Templar Flats,"Symptomatic of Hamilton at the time, King William Street consisted of a mix of vacant lots, buildings slated for demolition, and struggling businesses. An empty building, vacant lot, and the would-be methadone clinic became what is now the catalytic development known as the Templar Flats. The completed project includes 25 residential units and three exciting independent restaurants along the King William streetscape. The new building has a “modest monumental” presence, clad in limestone and punctuated with large windows of simple proportions. The vintage patina is balanced by the modern glass structure that is recessed behind, providing entry to the residential lobby and extending up to the glass rooftop apartments above.
","Core Urban Inc., Lintack Architects Inc., Strik Baldinelli Moniz Ltd., MSE, Seguin Engineering Inc., Fortino Bros.",2017,"Award of Excellence for Private Building - Mixed Use, 2017","31-39 King William Street, Hamilton",Hamilton,"-79.86744, 43.25733, 0.0"
9,Rudy Hulst Commons,"Rudy Hulst Commons is a mixed-use housing development in East Hamilton, which creates elegant affordable housing through safe and dignified living spaces. This energy efficient building is clad in a pattern of charcoal and white aluminum panels, the windows are offset between floors, creating a dynamic façade. Mustard yellow spandrel panels at the windows accentuate this pattern and the wood-grain Trespa panels at the notch, rooftop patio & soffits soften and add to the façade’s contemporary elegance. A graphite masonry & glass base makes the upper levels appear to hover over the entry level. This project helped bring new life in an area that had long seen disinvestment. It is an example of appropriate density and progressive transit-ready development along Main Street East.
","Indwell Community Homes, Invizij Architects, Demik Construction, IBI Group",2017,"Award of Merit for Private Building - Mixed Use, 2017","1430 Main Street East, Hamilton",Hamilton,"-79.80925, 43.24009, 0.0"
10,234 King Street East,"This retail commercial project, with a residential unit above, was a renovation effort by master carpenter Mike Haines. The new heritage inspired facade aimed to elevate the street’s appearance, draw high-end tenants and encourage property owners in the area to do the same. When designing the exterior, it was important that the renovations paid respect to the historic design of the building, and its place in the commercial row it comprises in the International Village on King Street East. The entire building uses high-efficiency LED lighting, furnaces and air-conditioners, and insulation. The original details of the building were preserved, such as exposed brick walls and coffered ceilings. Exterior brass lights and pilasters add character to the façade.
","Mike Haines + Matthew Kelland, J.H. Cohoon Engineering",2017,"Award of Merit for Private Building - Mixed Use, 2017","234 King Street East, Hamilton",Hamilton,"-79.86239, 43.25432, 0.0"
11,David Braley & Nancy Gordon Rock Garden - Visitor Centre at the Royal Botanical Garden,"The David Braley and Nancy Gordon Rock Garden underwent a three-year transformation. Features include a new Visitor Centre, restoration of the heritage Garden House, the Daglish Family Foundation Courtyard with elegant stone walls, rebuilt water features that meander throughout the garden landscape, and a rejuvenated planting plan. The project required an integrated approach to architecture and landscape architecture, including form, materiality and detailing of all building and site work elements. The Visitor Centre’s entry façade is a long, curved stone wall, and visitors enter over a water feature and under the overhang of the leaf-shaped roof into the Centre.
","Royal Botanical Gardens, CS&P Architects Inc., Janet Rosenberg & Studio Inc.,
Colliers Project Leaders, Ira McDonald Construction Ltd.",2017,"Award of Excellence for Public Building, 2017","1185 York Boulevard, Hamilton",Hamilton,"-79.89208, 43.28942, 0.0"
12,Waterdown Library & Civic Centre,"The Waterdown Library and Civic Centre design process began with an acknowledgement of a dramatic site upon the Niagara Escarpment. The design takes advantage of the topography, using elevation changes to provide expression and access to the different programmatic elements within the building. The design provides for a single story, split level building with the library as principle tenant. The library component hovers one story above municipal program components, connected via a series of gently sloping internal walkways. The topography is extended into the library, organized as a series of four terraces.  A large library reading atrium is situated at the high elevation providing striking views of the escarpment, and projecting the life and vitality of this exciting public program to the street, the city, and the lake beyond.
","RDH Architects, NAK Design Strategies, City of Hamilton, The Hamilton Public Library",2017,"Award of Excellence for Public Building, 2017","163 Dundas Street East, Waterdown","Waterdown, Flamborough","-79.90479, 43.32362, 0.0"
13,Waterdown Rotary Memorial Park Skate Loop,"Previously dominated by soccer fields and baseball diamonds, The Waterdown Rotary Memorial Park Skate Loop has provided an additional use, giving families the opportunity to spend time outdoors all year round. Due to budgetary constraints, an existing washroom building was reused in order to maximize the size and quality of the skating surface. The contemporary building forms part of the park’s new identity. The large canopy is located to reduce the amount of sun that enters the building in the summer while allowing the sun to help warm the interior during the winter months.
","Invizij Architects Inc., Toms + McNally Design Inc., Exp Services,
S. Llewellyn and Associates, Seferian Design Group, City of Hamilton",2017,"Award of Merit for Public Building, 2017","200 Hamilton Street North, Waterdown","Waterdown, Flamborough","-79.90269, 43.33611, 0.0"
14,Pier 7 & 8," Pier 7 + 8 are former industrial lands that represent Hamilton’s most significant opportunity to transform their waterfront into a vibrant new community. The recommended development master plan evolved through a collaborative 16 month community consultation process of workshops and open houses. Through that process, it was determined that future development will include a mix of residential, commercial, community spaces and a well-connected public realm of parks, open spaces and streetscapes incorporating state-of-the-art innovation and sustainability standards in architecture and engineering design. The redevelopment will improve connectivity between the North End neighbourhood and the waterfront, as well as provide an opportunity for the City of Hamilton to secure new public spaces along the West Harbour and to expand the existing Pier 8 events and activities.
","Brook McIlroy, City of Hamilton",2017,"Award of Excellence for Visions & Master Plans, 2017",,Hamilton,"-79.86083, 43.27648, 0.0"
15,Pipeline Trail Master Plan,"The Pipeline Trail Master Plan adaptively reuses municipal infrastructure into an urban trail network linking parks, schools, residences, transit, businesses, and neighbourhoods. It is a community-focused project that provides the framework for re-development and expansion of the trail system, while maintaining its function as a pipeline corridor. The pipeline corridor dates back to the 1850's, and connects the City's oldest water pumping station located on Woodward Avenue (now the Museum of Steam and Technology) to the former Barton Reservoir situated on the Escarpment at Ottawa Street. The Master Plan envisions an increase in active transportation across the lower City via this multi-use trail. The trail is intended to be adaptable, flexible and sustainable. Design considerations include: barrier-free accessibility, low-maintenance materials, variety of plantings and programmable spaces for community use.

","City of Hamilton, OMC Landscape Architecture, CIMA, Exp Services, Pipeline TrailCommunity Group, Homeside Community and Planning Team, Crown Point Community Planning Team",2017,"Award of Merit for Visions & Master Plans, 2017",,Hamilton,"-79.77293, 43.25587, 0.0"
16,Mohawk College Hoop Dance,"Mohawk College began this project with the vision of creating a place that celebrates First Nations, Metis and Inuit culture within the everyday experience of the Mohawk College campus and that honours 15,000 years of Indigenous history on this territory. Developed through an inclusive and iterative community consultation process between a number of stakeholders, the design response creates a first-of-its-kind outdoor space with deep layers of meaning woven into the fabric of each of its unique elements. Set in the College’s main courtyard, the HOOP Dance Aboriginal Gathering Place is comprised of five elements: an open-air pavilion, a fire circle, a water garden, a traditional garden and a ‘seven sisters’ garden inspired by Aboriginal concepts of inclusiveness, time as measured by the sun and moon, the Medicine Wheel and the creation story.
","Mohawk College, Brook McIlroy, Oakridge Landscape Contractors,
Nicola Logworks, Blackwell Engineering",2017,"Award of Excellence for Landscapes, Public Spaces & Green Infrastructure, 2017","135 Fennell Avenue West, Hamilton",Hamilton," -79.88807, 43.23869, 0.0"
17,L.R. Wilson Hall for Studies in Humanities and Social Sciences,"L.R. Wilson Hall acts as a landmark building for the eastern gateway to McMaster University. The design goal was to ensure that the landscapes serve the faculty’s functions, as well as fit within the broader campus circulation patterns. The landscape programme consists of a plaza and spill-out area for the auditorium, an aboriginal studies terrace including a medicinal wheel garden, a courtyard bringing nature and sunlight to the interior of the building, and extensive green roof designed with graphic expression. Coordinated efforts with the project arborist ensured the maintenance of as many existing trees within the adjacent woodlot as possible. All of the planting on the ground plane is irrigated via greywater from a cistern that collects roofwater.","McMaster University, PMA Landscape Architects Ltd., CS&P Architects Inc.,
Provident Energy Management Inc., Arborwood Tree Service Inc., Creative Irrigation Solutions Inc",2017,"Award of Merit for Landscapes, Public Spaces & Green Infrastructure, 2017","1280 Main Street West, Hamilton",Hamilton,"-79.9204, 43.2608, 0.0"
